slide_ID,num_patches,all_patches
JMR0357,12425,328202
JMR0358,11381,38988
JMR0359,17508,48024
JMR0360,2036,328202
JMR0361,3464,44154
JMR0362,13975,58080
JMR0363,20800,79265
JMR0365,9641,328202
JMR0366,30499,77490
JMR0367,21407,139167
JMR0368,36212,93060
JMR0369,5994,40365
JMR0373,5177,44800
JMR0374,1659,328202
JMR0375,17480,328202
JMR0378,8503,38654
JMR0380,45821,119314
JMR0381,18052,55040
JMR0382,23931,78153
JMR0384,9767,57728
JMR0385,6163,328202
JMR0386,17816,115260
JMR0387,6981,33536
JMR0388,4051,30535
JMR0389,8091,37555
JMR0390,26411,71788
JMR0392,15034,60984
JMR0393,9909,42420
JMR0395,6819,32111
JMR0396,36079,113353
JMR0398,21379,64728
JMR0400,8750,30929
JMR0401,13734,328202
JMR0402,9906,328202
JMR0403,29750,328202
JMR0404,20418,53970
JMR0406,3327,328202
JMR0407,24484,67320
JMR0409,13410,40136
JMR0410,1649,328202
JMR0412,19837,58400
JMR0413,584,8944
JMR0414,29075,76160
JMR0415,9108,32550
JMR0416,10311,42355
JMR0417,799,328202
JMR0418,13345,328202
JMR0419,4667,328202
JMR0420,23736,328202
JMR0421,14238,40660
JMR0422,20594,82004
JMR0423,8804,49632
JMR0424,17901,328202
JMR0425,14482,51680
JMR0426,23797,68544
JMR0429,25999,87612
JMR0431,2998,31416
JMR0433,25081,75960
JMR0434,37351,114950
JMR0435,8822,38505
JMR0436,11825,41772
JMR0437,12852,41584
JMR0438,17000,67920
JMR0439,18130,328202
JMR0440,5405,26364
JMR0441,45015,96465
JMR0443,12611,44712
JMR0444,4951,22960
JMR0446,3187,27302
JMR0447,10755,32340
JMR0449,18317,62985
JMR0450,14684,44280
JMR0452,38640,98640
JMR0453,14914,328202
JMR0454,13868,80162
JMR0455,7425,30294
JMR0456,11507,39600
JMR0457,7519,328202
JMR0458,4404,328202
JMR0459,5286,39585
JMR0461,18153,47685
JMR0462,6517,328202
JMR0464,1352,328202
JMR0465,30927,105968
JMR0468,20650,60000
JMR0469,29888,76590
JMR0471,6664,26134
JMR0472,16092,84686
JMR0473,1627,35640
JMR0474,22876,62604
JMR0475,4653,328202
JMR0476,11230,44144
JMR0477,13797,49590
JMR0478,15412,62780
JMR0479,458,11424
JMR0480,20485,328202
JMR0481,3201,16215
JMR0482,8473,35136
JMR0483,18281,77380
JMR0485,14024,48675
JMR0486,39760,154448
JMR0487,4950,328202
JMR0488,5359,24960
JMR0491,11966,42924
JMR0492,10513,36300
JMR0493,5998,27784
JMR0496,2086,17584
JMR0497,8611,48575
JMR0498,20868,58649
JMR0499,11706,63883
JMR0500,2637,28907
JMR0503,21739,61320
JMR0505,47798,328202
JMR0506,39187,130414
JMR0508,14311,57584
JMR0509,11222,41180
JMR0510,6212,32800
JMR0511,20691,328202
JMR0513,13602,328202
JMR0516,18971,84334
JMR0518,6247,31652
JMR0519,9945,155811
JMR0520,865,328202
JMR0522,11225,56625
JMR0523,165,8245
JMR0524,15150,50589
JMR0525,2071,100832
JMR0526,16694,328202
JMR0528,5717,77452
JMR0530,2395,35640
JMR0532,4464,69130
JMR0534,3018,33908
JMR0535,9833,328202
JMR0536,403,328202
JMR0537,4256,328202
JMR0540,5739,41382
JMR0541,20652,67416
JMR0543,31163,93922
JMR0544,10819,46435
JMR0546,1903,14628
JMR0547,32235,328202
JMR0548,8750,33495
JMR0549,13804,69006
JMR0550,1122,328202
JMR0551,32760,91568
JMR0553,13969,86856
JMR0554,44880,116424
JMR0555,7219,328202
JMR0559,9550,34884
JMR0560,51123,130923
JMR0561,28382,71838
JMR0562,9216,39991
JMR0563,10807,52380
JMR0566,23562,124780
JMR0567,10998,79778
JMR0568,17241,328202
JMR0569,3348,36693
JMR0570,22521,64071
JMR0571,16207,49800
JMR0574,3736,20711
JMR0576,10046,328202
JMR0577,46351,328202
JMR0579,4922,107548
JMR0581,2876,31126
JMR0582,19990,68002
JMR0583,21941,328202
JMR0584,22234,85432
JMR0585,12590,55650
JMR0586,7083,328202
JMR0587,10694,44660
JMR0588,29794,90117
JMR0589,37430,153224
JMR0590,55286,117412
JMR0592,11238,67123
JMR0593,24376,109586
JMR0594,51952,114510
JMR0595,11120,328202
JMR0596,9486,35880
JMR0597,10357,108150
JMR0598,50976,134166
JMR0599,988,328202
JMR0604,6539,328202
JMR0606,8251,51034
JMR0608,20144,328202
JMR0610,5015,33286
JMR0611,4516,21855
JMR0612,5879,29970
JMR0614,3885,21525
JMR0615,39821,78680
JMR0616,601,328202
JMR0617,18172,328202
JMR0618,5998,328202
JMR0619,68190,180268
JMR0621,10148,328202
JMR0622,32648,328202
JMR0624,1698,328202
JMR0625,12191,328202
JMR0626,7061,328202
JMR0627,7515,32361
JMR0628,18544,109125
JMR0629,28171,71036
JMR0630,44125,328202
JMR0631,47703,106664
JMR0635,24768,328202
JMR0637,6907,28160
JMR0639,45336,163904
JMR0640,17399,102024
JMR0642,6991,30368
JMR0643,5689,61628
JMR0644,4418,33912
JMR0646,3509,19750
JMR0648,2664,328202
JMR0650,11135,328202
JMR0651,37620,78232
JMR0652,5433,31590
JMR0653,8460,134316
JMR0657,15169,52171
JMR0658,29430,109590
JMR0659,4794,66980
JMR0660,8845,34736
JMR0661,4486,34020
JMR0662,927,328202
JMR0663,2625,23023
JMR0664,24456,68138
JMR0665,16889,328202
JMR0666,15745,46508
JMR0667,16237,328202
JMR0668,10842,328202
JMR0671,8140,47422
JMR0673,17256,105294
JMR0675,80569,328202
JMR0676,365,11009
JMR0677,14114,77173
JMR0678,12634,48828
JMR0679,24767,68115
JMR0681,8149,328202
JMR0682,17179,57652
JMR0683,1025,328202
JMR0686,3533,328202
JMR0689,15423,68244
JMR0690,8866,35424
JMR0691,6576,328202
JMR0693,1491,328202
JMR0694,30924,103173
JMR0696,29799,91368
JMR0697,7968,29172
JMR0698,11745,46920
JMR0699,2857,23828
JMR0700,10681,33567
JMR0702,22039,61775
JMR0703,6791,46980
JMR0704,7438,37682
JMR0705,7069,31164
JMR0707,1861,22960
JMR0708,20814,56832
JMR0709,25951,75140
JMR0710,8683,42750
JMR0711,9105,44844
JMR0714,26727,97614
JMR0715,31885,95700
JMR0717,34372,89411
JMR0718,43508,98530
JMR0719,38888,96338
JMR0720,1151,27450
JMR0721,2450,17480
JMR0724,11053,39732
JMR0725,26588,66440
JMR0727,10099,69208
JMR0730,12883,41412
JMR0731,16107,71536
JMR0732,16275,47499
JMR0733,3740,22499
JMR0735,1817,16340
JMR0736,9406,33488
JMR0737,39757,136850
JMR0738,9910,43194
JMR0739,3112,22057
JMR0740,26219,76032
JMR0741,1861,21945
JMR0743,2093,26001
JMR0746,6576,86700
JMR0748,6968,32706
JMR0749,16177,328202
JMR0750,8362,45140
JMR0751,21774,66816
JMR0752,15681,41032
JMR0754,8015,190696
JMR0755,17671,58985
JMR0756,48782,102375
JMR0757,8604,41832
